   296 | ARROYO ROMANCITO                                                                    | 1649 |            1
   297 | ARROYO ROMERO                                                                       | 1649 |            1
   298 | ARROYO SABALOS                                                                      | 1649 |            1
   299 | ARROYO SAN SALVADOR                                                                 | 1649 |            1
   300 | ARROYO SANTA ROSA                                                                   | 1649 |            1
   301 | ARROYO SANTO DOMINGO                                                                | 1649 |            1
   302 | ARROYO SARANDI                                                                      | 1647 |            1
   303 | ARROYO SAUCE LLORON                                                                 | 1649 |            1
   304 | ARROYO SEGUNDA HERMANA                                                              | 1649 |            1
   305 | ARROYO SURUBI                                                                       | 1649 |            1
   306 | ARROYO TAJIBER                                                                      | 2805 |            1
   307 | ARROYO TARARIRAS                                                                    | 1649 |            1
   308 | ARROYO TELA                                                                         | 1649 |            1
   309 | ARROYO TIBER                                                                        | 1649 |            1
   310 | ARROYO TIBURON                                                                      | 1649 |            1
   311 | ARROYO TOLEDITO                                                                     | 1647 |            1
   312 | ARROYO TOLEDO (PALMAS)                                                              | 1649 |            1
   313 | ARROYO TOLEDO (PARANA MINI)                                                         | 1649 |            1
   314 | ARROYO TORITO                                                                       | 1649 |            1
   315 | ARROYO TORO                                                                         | 1649 |            1
   316 | ARROYO TRES SARGENTOS                                                               | 1649 |            1
   317 | ARROYO TUYUPARE                                                                     | 1649 |            1
   318 | ARROYO VEINTICINCO DE NOVIEMBRE                                                     | 1649 |            1
   319 | ARROYO VENADO                                                                       | 6437 |            1
   320 | ARROYO VERON                                                                        | 1649 |            1
   321 | ARROYO VICO                                                                         | 1649 |            1
   322 | ARROYO ZANJON                                                                       | 2805 |            1
   323 | ARROYO ÑACURUTU                                                                     | 2800 |            1
   324 | ARROYO ÑACURUTU CHICO                                                               | 2805 |            1
   325 | ARTURO SEGUI                                                                        | 1895 |            1
   326 | ARTURO VATTEONE                                                                     | 6433 |            1
   327 | ASAMBLEA                                                                            | 6640 |            1
   328 | ASCENSION                                                                           | 6003 |            1
   329 | ASTURIAS                                                                            | 6469 |            1
   330 | ATAHUALPA                                                                           | 6471 |            1
   331 | ATALAYA                                                                             | 1913 |            1
   332 | ATILIO PESSAGNO                                                                     | 7116 |            1
   333 | ATUCHA                                                                              | 2808 |            1
   334 | AUTOCAMPING EL PINAR                                                                | 7165 |            1
   335 | AUTOCAMPING SAN CLEMENTE                                                            | 7105 |            1
   336 | AVELLANEDA                                                                          | 1870 |            1
   337 | AVESTRUZ                                                                            | 8183 |            1
   338 | AYACUCHO                                                                            | 7150 |            1
   339 | AZCUENAGA                                                                           | 6721 |            1
